TOUR,START DATE,END DATE,STARTING FROM,ENDING IN,VESSEL,CABIN,PRICE,OFFER
Realm of Penguins & Icebergs,12/11/2023,22/11/2023,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,8895,
,,,,,,Main Deck Suite,8895,
,,,,,,Single Suite,8895,
,,,,,,Classic Suite,8895,
,,,,,,Superior Suite,8895,
,,,,,,Deluxe Suite,8895,
,,,,,,Premium Suite,8895,
,,,,,,Owners Suite,8895,
Antarctica Through the Camera Lens,21/11/2023,1/12/2023,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,8895,
,,,,,,Main Deck Suite,8895,
,,,,,,Single Suite,8895,
,,,,,,Classic Suite,8895,
,,,,,,Superior Suite,8895,
,,,,,,Deluxe Suite,8895,
,,,,,,Premium Suite,8895,
,,,,,,Owners Suite,8895,
Realm of Penguins & Icebergs,10/12/2023,20/12/2023,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,8895,
,,,,,,Main Deck Suite,8895,
,,,,,,Single Suite,8895,
,,,,,,Classic Suite,8895,
,,,,,,Superior Suite,8895,
,,,,,,Deluxe Suite,8895,
,,,,,,Premium Suite,8895,
,,,,,,Owners Suite,8895,
Christmas in Antarctica,19/12/2023,29/12/2023,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,9695,
,,,,,,Main Deck Suite,9695,
,,,,,,Single Suite,9695,
,,,,,,Classic Suite,9695,
,,,,,,Superior Suite,9695,
,,,,,,Deluxe Suite,9695,
,,,,,,Premium Suite,9695,
,,,,,,Owners Suite,9695,
New Year in Antarctica,28/12/2023,7/1/2024,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,10295,
,,,,,,Main Deck Suite,10295,
,,,,,,Single Suite,10295,
,,,,,,Classic Suite,10295,
,,,,,,Superior Suite,10295,
,,,,,,Deluxe Suite,10295,
,,,,,,Premium Suite,10295,
,,,,,,Owners Suite,10295,
Antarctic Wildlife Adventure,6/1/2024,26/1/2024,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,18695,
,,,,,,Main Deck Suite,18695,
,,,,,,Single Suite,18695,
,,,,,,Classic Suite,18695,
,,,,,,Superior Suite,18695,
,,,,,,Deluxe Suite,18695,
,,,,,,Premium Suite,18695,
,,,,,,Owners Suite,18695,
Crossing 66º South Latitude,25/1/2024,8/2/2024,Ushuaia (Argentina),Ushuaia (Argentina),M/v Sea Spirit,Triple Suite,12295,
,,,,,,Main Deck Suite,12295,
,,,,,,Single Suite,12295,
,,,,,,Classic Suite,12295,
,,,,,,Superior Suite,12295,
,,,,,,Deluxe Suite,12295,
,,,,,,Premium Suite,12295,
,,,,,,Owners Suite,12295,
Antarctic Wildlife Adventure,27/2/2024,20/3/2024,Ushuaia (Argentina),Buenos Aires (Argentina),M/v Sea Spirit,Triple Suite,14795,
,,,,,,Main Deck Suite,14795,
,,,,,,Single Suite,14795,
,,,,,,Classic Suite,14795,
,,,,,,Superior Suite,14795,
,,,,,,Deluxe Suite,14795,
,,,,,,Premium Suite,14795,
,,,,,,Owners Suite,14795,
Best of British Isles,8/5/2024,20/5/2024,Portsmouth (England),Edinburgh (Scotland),M/v Sea Spirit,Triple Suite,5995,
,,,,,,Main Deck Suite,5995,
,,,,,,Single Suite,5995,
,,,,,,Classic Suite,5995,
,,,,,,Superior Suite,5995,
,,,,,,Deluxe Suite,5995,
,,,,,,Premium Suite,5995,
,,,,,,Owners Suite,5995,
Wild Islands & Lands of Legends,19/5/2024,30/5/2024,Edinburgh (Scotland),Edinburgh (Scotland),M/v Sea Spirit,Triple Suite,5395,
,,,,,,Main Deck Suite,5395,
,,,,,,Single Suite,5395,
,,,,,,Classic Suite,5395,
,,,,,,Superior Suite,5395,
,,,,,,Deluxe Suite,5395,
,,,,,,Premium Suite,5395,
,,,,,,Owners Suite,5395,
Crossing the Arctic Circle,29/5/2024,10/6/2024,Edinburgh (Scotland),Longyearbyen (Svalbard),M/v Sea Spirit,Triple Suite,6895,
,,,,,,Main Deck Suite,6895,
,,,,,,Single Suite,6895,
,,,,,,Classic Suite,6895,
,,,,,,Superior Suite,6895,
,,,,,,Deluxe Suite,6895,
,,,,,,Premium Suite,6895,
,,,,,,Owners Suite,6895,
West Svalbard,9/6/2024,18/6/2024,Longyearbyen (Svalbard),Longyearbyen (Svalbard),M/v Sea Spirit,Triple Suite,7895,
,,,,,,Main Deck Suite,7895,
,,,,,,Single Suite,7895,
,,,,,,Classic Suite,7895,
,,,,,,Superior Suite,7895,
,,,,,,Deluxe Suite,7895,
,,,,,,Premium Suite,7895,
,,,,,,Owners Suite,7895,
West Svalbard,17/6/2024,26/6/2024,Longyearbyen (Svalbard),Longyearbyen (Svalbard),M/v Sea Spirit,Triple Suite,7895,
,,,,,,Main Deck Suite,7895,
,,,,,,Single Suite,7895,
,,,,,,Classic Suite,7895,
,,,,,,Superior Suite,7895,
,,,,,,Deluxe Suite,7895,
,,,,,,Premium Suite,7895,
,,,,,,Owners Suite,7895,
Svalbard Through the Camera Lens,25/6/2024,7/7/2024,Longyearbyen (Svalbard),Longyearbyen (Svalbard),M/v Sea Spirit,Triple Suite,9595,
,,,,,,Main Deck Suite,9595,
,,,,,,Single Suite,9595,
,,,,,,Classic Suite,9595,
,,,,,,Superior Suite,9595,
,,,,,,Deluxe Suite,9595,
,,,,,,Premium Suite,9595,
,,,,,,Owners Suite,9595,
Best of Svalbard,5/7/2024,16/7/2024,Longyearbyen (Svalbard),Longyearbyen (Svalbard),M/v Sea Spirit,Triple Suite,9195,
,,,,,,Main Deck Suite,9195,
,,,,,,Single Suite,9195,
,,,,,,Classic Suite,9195,
,,,,,,Superior Suite,9195,
,,,,,,Deluxe Suite,9195,
,,,,,,Premium Suite,9195,
,,,,,,Owners Suite,9195,
In-Depth Exploration in the Land of the Polar Bear,15/7/2024,28/7/2024,Longyearbyen (Svalbard),Longyearbyen (Svalbard),M/v Sea Spirit,Triple Suite,10695,
,,,,,,Main Deck Suite,10695,
,,,,,,Single Suite,10695,
,,,,,,Classic Suite,10695,
,,,,,,Superior Suite,10695,
,,,,,,Deluxe Suite,10695,
,,,,,,Premium Suite,10695,
,,,,,,Owners Suite,10695,
